Wealth_Score,Rank_Progression_Years,Mission_Success,Peer_Reviews,Attendance_Records,Disciplinary_Actions,Sentiment_Score,Proximity_to_Enemy,Propaganda_Influence,Loyalty_History,Betrayal
9,13.0,61,5,90,2,0.1182186222910886,1,4,1,0
6,17.666666666666668,67,5,73,1,3.071884538241587e-05,0,4,0,0
7,18.583333333333332,64,3,84,3,0.712137045880605,1,1,1,0
9,19.25,93,3,79,2,0.35659617598620563,1,1,0,0
5,20.916666666666668,65,5,79,2,0.25448133161826025,0,3,0,0
10,4.75,76,4,96,2,0.01289746978952544,0,0,1,0
7,3.8333333333333335,57,3,84,4,0.5402994067614997,1,2,1,1
7,22.0,95,3,68,0,0.8511507354259817,1,1,0,0
9,7.75,74,4,99,3,0.9576316462725879,1,1,1,0
4,22.25,66,3,57,1,0.5657449506132892,0,0,1,1
5,17.333333333333332,78,4,75,2,0.5144613277398942,0,0,0,0
9,26.166666666666668,57,4,98,0,0.0850563854892411,0,4,0,0
5,1.75,64,4,89,1,0.5488728015425998,1,2,0,0
5,26.916666666666668,76,5,56,2,0.3799790789653946,1,0,1,0
10,24.75,95,5,79,0,0.6071352808835769,0,1,1,0
7,21.083333333333332,99,5,56,2,0.3887263478765467,1,1,1,0
6,21.833333333333332,56,4,52,4,0.24029912345036675,0,3,1,0
10,1.3333333333333333,52,4,50,0,0.0949652752283765,1,0,0,0
10,10.833333333333334,78,5,85,3,0.31491844458889573,0,4,1,0
5,25.0,93,3,74,2,0.09664483428775228,1,2,0,1
8,6.333333333333333,73,4,86,2,0.17689695082398393,1,4,1,1
7,13.083333333333334,52,3,50,1,0.9873361585795459,0,1,1,1
4,19.583333333333332,69,3,64,1,0.4441035569066186,0,4,0,0
10,20.833333333333332,95,4,86,1,0.5318717665050166,0,1,1,0
6,15.666666666666666,64,4,62,0,0.8736185287372153,0,1,1,1
8,23.166666666666668,74,3,89,1,0.9955689004906878,0,1,0,0
8,29.333333333333332,79,3,57,2,0.5827144493446815,1,1,1,0
4,24.416666666666668,63,5,54,4,0.8124738210441717,0,1,0,0
10,6.166666666666667,56,5,58,3,0.32694102433667527,0,3,0,0
6,19.0,66,4,50,3,0.3057439574472911,0,4,0,0
7,29.416666666666668,93,5,85,1,0.4027037209945602,0,3,0,0
3,27.166666666666668,69,5,84,1,0.6725072626736491,0,3,1,1
6,24.5,85,5,51,1,0.6821916892550988,1,0,1,0
4,15.666666666666666,58,5,89,1,0.3152394346494508,0,0,1,0
8,9.083333333333334,87,3,72,2,0.1332099241366287,0,0,0,0
7,9.666666666666666,97,4,58,2,0.6323962564655086,0,2,1,0
6,9.166666666666666,71,5,83,1,0.12832586218876452,1,0,1,0
3,26.833333333333332,51,3,95,1,0.5784925082293301,1,4,1,0
3,1.4166666666666667,73,3,63,3,0.693422128056309,0,3,1,0
5,17.333333333333332,57,3,53,3,0.7006114963944516,0,4,0,0
5,12.0,60,5,79,1,0.7534721106595967,1,0,0,0
9,22.5,62,5,80,4,0.8728594215656645,1,2,1,0
4,2.8333333333333335,66,4,87,4,0.49995899196478844,1,2,0,0
10,5.333333333333333,57,5,60,1,0.7302491895295712,0,3,1,1
6,14.666666666666666,70,5,84,1,0.6191727353658367,0,4,1,0
6,17.75,67,3,57,2,0.18663993979768256,1,1,1,1
10,7.833333333333333,79,4,52,4,0.025689644869408168,0,4,0,0
9,13.0,67,5,63,3,0.28454138567693377,1,0,1,1
8,8.0,95,5,62,0,0.4430337063376194,1,1,0,0
8,7.416666666666667,96,3,94,2,0.6171059444286563,1,2,0,0
9,1.0,80,3,81,2,0.8499593305032054,0,3,1,0
8,5.166666666666667,87,5,83,2,0.19624571670616564,1,3,0,0
5,15.333333333333334,81,4,94,1,0.1255497898984771,1,2,0,0
6,18.0,60,4,68,3,0.9634799474743275,0,0,1,0
9,22.583333333333332,94,3,87,2,0.10804455937640711,1,2,0,0
6,24.916666666666668,74,3,65,3,0.47849107010718916,0,0,0,0
10,3.75,82,5,51,3,0.5855637287933019,1,1,1,1
3,29.916666666666668,87,3,89,3,0.5413744209074383,0,2,1,0
5,8.833333333333334,90,5,66,2,0.0860321570329432,1,0,0,0
7,6.916666666666667,57,4,83,2,0.05702691400361937,1,1,1,0
5,4.166666666666667,60,4,91,1,0.10548342746103567,1,2,1,0
9,13.75,71,5,65,2,0.5855876838726125,1,3,0,0
7,21.75,100,3,87,1,0.5443448876343211,1,2,0,0
